id,codi_estacio,codi_variable,data_lectura,data_extrem,valor_lectura,codi_estat,codi_base
V4320101151200,V4,32,2015-01-01T12:00:00.000,,7.3,V,SH
V4400101151200,V4,40,2015-01-01T12:00:00.000,2015-01-01T12:28:00.000,7.8,V,SH
V4420101151200,V4,42,2015-01-01T12:00:00.000,2015-01-01T12:10:00.000,7.0,V,SH
V4330101151200,V4,33,2015-01-01T12:00:00.000,,51.0,V,SH
V4720101151200,V4,72,2015-01-01T12:00:00.000,2015-01-01T12:00:00.000,0.0,V,SH
V4440101151200,V4,44,2015-01-01T12:00:00.000,2015-01-01T12:29:00.000,48.0,V,SH
V4030101151200,V4,3,2015-01-01T12:00:00.000,2015-01-01T12:15:00.000,53.0,V,SH
V4350101151200,V4,35,2015-01-01T12:00:00.000,,0.0,V,SH
V4030101151230,V4,3,2015-01-01T12:30:00.000,2015-01-01T12:31:00.000,50.0,V,SH
V4350101151230,V4,35,2015-01-01T12:30:00.000,,0.0,V,SH
V4720101151230,V4,72,2015-01-01T12:30:00.000,2015-01-01T12:30:00.000,0.0,V,SH
V4440101151230,V4,44,2015-01-01T12:30:00.000,2015-01-01T12:54:00.000,47.0,V,SH
V4330101151230,V4,33,2015-01-01T12:30:00.000,,49.0,V,SH
V4320101151230,V4,32,2015-01-01T12:30:00.000,,7.9,V,SH
V4400101151230,V4,40,2015-01-01T12:30:00.000,2015-01-01T12:41:00.000,8.0,V,SH
V4420101151230,V4,42,2015-01-01T12:30:00.000,2015-01-01T12:30:00.000,7.8,V,SH
V4720101151300,V4,72,2015-01-01T13:00:00.000,2015-01-01T13:00:00.000,0.0,V,SH
V4320101151300,V4,32,2015-01-01T13:00:00.000,,8.4,V,SH
V4400101151300,V4,40,2015-01-01T13:00:00.000,2015-01-01T13:25:00.000,8.8,V,SH
V4420101151300,V4,42,2015-01-01T13:00:00.000,2015-01-01T13:01:00.000,7.9,V,SH
V4350101151300,V4,35,2015-01-01T13:00:00.000,,0.0,V,SH
V4030101151300,V4,3,2015-01-01T13:00:00.000,2015-01-01T13:09:00.000,50.0,V,SH
V4440101151300,V4,44,2015-01-01T13:00:00.000,2015-01-01T13:28:00.000,46.0,V,SH
V4330101151300,V4,33,2015-01-01T13:00:00.000,,48.0,V,SH
V4720101151330,V4,72,2015-01-01T13:30:00.000,2015-01-01T13:30:00.000,0.0,V,SH
V4320101151330,V4,32,2015-01-01T13:30:00.000,,8.8,V,SH
V4400101151330,V4,40,2015-01-01T13:30:00.000,2015-01-01T13:50:00.000,9.1,V,SH
V4350101151330,V4,35,2015-01-01T13:30:00.000,,0.0,V,SH
